danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
0.727,0.71,4,-6.142,1,0.0742,0.0104,0,0.107,0.378,163.99,audio_features,2elA6JLRaQ6iB7hxiuTKN4,spotify:track:2elA6JLRaQ6iB7hxiuTKN4,https://api.spotify.com/v1/tracks/2elA6JLRaQ6iB7hxiuTKN4,https://api.spotify.com/v1/audio-analysis/2elA6JLRaQ6iB7hxiuTKN4,287480,4,RnB,I Tried,,
0.758,0.712,7,-3.781,1,0.112,0.0185,0,0.0677,0.795,149.998,audio_features,2q4rjDy9WhaN3o9MvDbO21,spotify:track:2q4rjDy9WhaN3o9MvDbO21,https://api.spotify.com/v1/tracks/2q4rjDy9WhaN3o9MvDbO21,https://api.spotify.com/v1/audio-analysis/2q4rjDy9WhaN3o9MvDbO21,193387,4,RnB,Kiss Me Thru The Phone,,
0.835,0.707,8,-5.074,1,0.0598,0.0219,2.19E-05,0.108,0.919,187.91,audio_features,2mKouqwAIdQnMP43zxR89r,spotify:track:2mKouqwAIdQnMP43zxR89r,https://api.spotify.com/v1/tracks/2mKouqwAIdQnMP43zxR89r,https://api.spotify.com/v1/audio-analysis/2mKouqwAIdQnMP43zxR89r,267093,4,RnB,What's Luv? (feat. Ja-Rule & Ashanti),,
0.67,0.737,8,-7.108,1,0.201,0.311,0,0.115,0.93,174.098,audio_features,558ESt8CzJgfVgRD5PinyM,spotify:track:558ESt8CzJgfVgRD5PinyM,https://api.spotify.com/v1/tracks/558ESt8CzJgfVgRD5PinyM,https://api.spotify.com/v1/audio-analysis/558ESt8CzJgfVgRD5PinyM,204293,4,RnB,Homecoming - (Edited),,
0.715,0.766,8,-3.373,1,0.0322,0.0144,0,0.0544,0.597,124.991,audio_features,5fJcHhfW0ngZ4qGZqJrIQh,spotify:track:5fJcHhfW0ngZ4qGZqJrIQh,https://api.spotify.com/v1/tracks/5fJcHhfW0ngZ4qGZqJrIQh,https://api.spotify.com/v1/audio-analysis/5fJcHhfW0ngZ4qGZqJrIQh,283880,4,RnB,Anonymous - Main,,
0.643,0.907,5,-6.167,0,0.372,0.111,0,0.437,0.777,161.834,audio_features,56du2aCIzpCG7sI5geIvCC,spotify:track:56du2aCIzpCG7sI5geIvCC,https://api.spotify.com/v1/tracks/56du2aCIzpCG7sI5geIvCC,https://api.spotify.com/v1/audio-analysis/56du2aCIzpCG7sI5geIvCC,214293,4,RnB,"Bust It Baby, Pt. 2",,
0.773,0.724,8,-5.731,1,0.153,0.178,0,0.131,0.821,131.092,audio_features,1ElXBG9yJcgSFUJr19sotM,spotify:track:1ElXBG9yJcgSFUJr19sotM,https://api.spotify.com/v1/tracks/1ElXBG9yJcgSFUJr19sotM,https://api.spotify.com/v1/audio-analysis/1ElXBG9yJcgSFUJr19sotM,257000,4,RnB,Ice Box,,
0.807,0.97,10,-6.056,0,0.0477,0.0536,6.60E-05,0.149,0.876,114.297,audio_features,3SwlakM6VX47IwG0Wll5ek,spotify:track:3SwlakM6VX47IwG0Wll5ek,https://api.spotify.com/v1/tracks/3SwlakM6VX47IwG0Wll5ek,https://api.spotify.com/v1/audio-analysis/3SwlakM6VX47IwG0Wll5ek,242373,4,RnB,Promiscuous,,
0.588,0.877,8,-4.78,1,0.16,0.00952,0,0.171,0.645,155.165,audio_features,58FUwmyGUqkt53YPUcm7cJ,spotify:track:58FUwmyGUqkt53YPUcm7cJ,https://api.spotify.com/v1/tracks/58FUwmyGUqkt53YPUcm7cJ,https://api.spotify.com/v1/audio-analysis/58FUwmyGUqkt53YPUcm7cJ,326187,4,RnB,Knock You Down,,
0.726,0.568,7,-8.358,0,0.0298,0.179,0,0.0488,0.631,183.812,audio_features,4b5aJdOgxps6z0dPe6wCHF,spotify:track:4b5aJdOgxps6z0dPe6wCHF,https://api.spotify.com/v1/tracks/4b5aJdOgxps6z0dPe6wCHF,https://api.spotify.com/v1/audio-analysis/4b5aJdOgxps6z0dPe6wCHF,274333,4,RnB,Into You (feat. Ashanti),,
